user_id,age,monthly_income,investment_capital,investment_horizon,risk_tolerance,investment_goal,preferred_market,experience_level,liquidity_need,recommended_market,recommendation_confidence,recommendation_reason,score_deposits,score_saudi_funds,score_saudi_stocks,score_us_stocks,score_mixed
USR0001,42,21000,630000,long,high,growth,US,advanced,low,US_Stocks,0.258,high risk tolerance; long investment horizon; low liquidity need,0,0,50,97,72
USR0002,36,11000,390000,medium,high,balanced,Both,advanced,medium,Mixed,0.5,high risk tolerance; medium investment horizon; medium liquidity need,0,33,28,40,80
USR0003,44,12500,144000,medium,medium,growth,US,intermediate,high,Mixed,0.042,medium risk tolerance; medium investment horizon; growth goal,22,32,46,34,48
USR0004,53,20000,700000,short,low,income,US,intermediate,high,Deposits,0.385,low risk tolerance; short investment horizon; high liquidity need,96,59,8,20,14
USR0005,35,12000,206000,short,low,income,Saudi,beginner,high,Deposits,0.236,low risk tolerance; short investment horizon; high liquidity need,106,81,14,0,0
USR0006,35,11000,159000,long,low,income,Saudi,beginner,high,Deposits,0.123,low risk tolerance; high liquidity need; income goal,81,71,24,16,16
USR0007,53,26000,121000,medium,low,growth,Saudi,advanced,high,Deposits,0.035,low risk tolerance; high liquidity need,57,55,34,28,32
USR0008,45,24000,113000,short,high,income,Both,advanced,medium,Mixed,0.231,high risk tolerance; medium liquidity need; advanced investor,39,39,20,40,52
USR0009,33,12500,322000,medium,high,income,US,intermediate,medium,Mixed,0.068,high risk tolerance; medium investment horizon; medium liquidity need,14,36,36,41,44
USR0010,43,27500,498000,long,high,income,Saudi,beginner,low,Saudi_Stocks,0.058,high risk tolerance; long investment horizon; low liquidity need,24,38,52,49,44
USR0011,33,8000,83000,medium,medium,capital_preservation,Saudi,intermediate,high,Saudi_Funds,0.138,medium risk tolerance; medium investment horizon; high liquidity need,50,58,48,0,36
USR0012,33,11500,267000,medium,medium,income,Both,advanced,medium,Mixed,0.117,medium risk tolerance; medium investment horizon; medium liquidity need,14,53,26,15,60
USR0013,40,11500,130000,long,high,balanced,Saudi,intermediate,low,Mixed,0.143,high risk tolerance; long investment horizon; low liquidity need,0,18,60,49,70
USR0014,22,4000,88000,medium,medium,capital_preservation,Saudi,beginner,low,Saudi_Funds,0.226,medium risk tolerance; medium investment horizon; capital preservation goal,38,62,48,14,42
USR0015,22,7500,111000,long,high,growth,Saudi,beginner,medium,US_Stocks,0.077,high risk tolerance; long investment horizon; growth goal,10,30,56,65,60
USR0016,32,11000,331000,long,high,growth,US,advanced,low,US_Stocks,0.29,high risk tolerance; long investment horizon; low liquidity need,0,0,50,93,66
USR0017,27,16500,496000,medium,high,balanced,Saudi,beginner,high,Mixed,0.074,high risk tolerance; medium investment horizon; balanced goal,32,50,42,31,54
USR0018,41,19000,356000,long,high,growth,US,intermediate,low,US_Stocks,0.229,high risk tolerance; long investment horizon; low liquidity need,0,0,58,83,64
USR0019,28,7000,102000,long,medium,growth,Saudi,intermediate,low,Saudi_Stocks,0.029,medium risk tolerance; long investment horizon; low liquidity need,0,22,70,48,68
USR0020,23,16000,239000,short,low,income,Saudi,beginner,medium,Saudi_Stocks,0.0,controlled label noise for model robustness,84,81,14,6,12
USR0021,52,30500,902000,medium,medium,balanced,Saudi,advanced,medium,Mixed,0.265,medium risk tolerance; medium investment horizon; medium liquidity need,0,50,40,14,68
USR0022,35,16000,221000,medium,medium,capital_preservation,Saudi,intermediate,low,Saudi_Stocks,0.107,medium risk tolerance; medium investment horizon; low liquidity need,28,50,56,8,44
USR0023,38,13000,128000,short,medium,growth,Both,intermediate,high,Mixed,0.13,medium risk tolerance; growth goal; intermediate investor,47,35,38,23,54
USR0024,23,6000,34000,short,low,income,Saudi,beginner,high,Deposits,0.225,low risk tolerance; short investment horizon; high liquidity need,111,86,14,6,6
USR0025,32,10500,193000,medium,medium,growth,Saudi,intermediate,low,Saudi_Stocks,0.176,medium risk tolerance; medium investment horizon; low liquidity need,0,34,68,26,56
USR0026,39,21500,406000,medium,low,income,Saudi,beginner,low,Saudi_Funds,0.213,low risk tolerance; medium investment horizon; income goal,59,75,30,8,18
USR0027,26,18500,568000,long,high,growth,US,advanced,low,US_Stocks,0.243,high risk tolerance; long investment horizon; low liquidity need,0,0,50,103,78
USR0028,41,26500,272000,long,medium,balanced,Saudi,intermediate,medium,Mixed,0.242,medium risk tolerance; long investment horizon; medium liquidity need,0,38,50,16,66
USR0029,31,9500,147000,short,medium,growth,US,intermediate,high,Deposits,0.191,short investment horizon; high liquidity need,47,30,38,34,38
USR0030,35,8500,252000,long,medium,balanced,Saudi,intermediate,low,Mixed,0.147,medium risk tolerance; long investment horizon; low liquidity need,0,30,58,24,68
USR0031,31,12000,362000,medium,medium,growth,Both,intermediate,high,Mixed,0.281,medium risk tolerance; medium investment horizon; growth goal,22,37,46,23,64
USR0032,56,11500,180000,medium,high,income,US,advanced,medium,US_Stocks,0.098,high risk tolerance; advanced investor; prefers US market,22,44,28,51,46
USR0033,37,15500,281000,medium,medium,capital_preservation,US,intermediate,high,Deposits,0.04,high liquidity need; capital preservation goal,50,48,34,16,36
USR0034,27,9000,117000,short,low,income,Saudi,beginner,high,Deposits,0.236,low risk tolerance; short investment horizon; high liquidity need,106,81,14,6,6
USR0035,46,14500,489000,medium,medium,growth,Both,advanced,medium,Mixed,0.472,medium risk tolerance; medium investment horizon; medium liquidity need,0,37,38,33,72
USR0036,25,5000,34000,medium,high,balanced,Both,intermediate,medium,Mixed,0.548,high risk tolerance; medium investment horizon; medium liquidity need,5,38,36,36,84
